,Requirement,Services
281,The website will comply with W3C standards.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
282,The PHP code will comply with PEAR standards.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
283, The website will allow customers to search for movies by title  actor  or director.,"Amazon S3,Amazon CloudFront,Amazon ElasticSearch,Amazon Lambda"
284, viewing a movie details  the website will display the movies description  actor  and director entered in by the administrator.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
285, Website shall request  and authorize credit card payment before allowing a user to stream a movie.,"Amazon S3,Amazon CloudFront,Amazon Cognito,Amazon RDS,Amazon Lambda"
286, shall be able to stream purchased movie via Windows Media Player  for up to 2 days aftere purchase date.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon EventBridge"
287,Website shall allow customers to browse movies by categories entered in by izogn administrator.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
288,Website shall allow customers to view reviews of selected movies by other customers.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
289,Website shall allow customers to add their own movie review for a selected movie.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
290,Website shall allow the Izogn administrator to approve a review posted by a customer.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon SNS"
291,System will allow customers to pay for a streaming movie with a pre-paid card.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
292, Website shall allow customers to purchase pre-paid cards of $5  $10  or $20 value either by credit card or mail-in payment option.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon SES"
293, System shall automatically update the main page of the website every Friday  and show the 4 latest movies that have been added to the website.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon EventBridge"
294,System shall allow users to update their billing and contact information via the  My Account  section of the website.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon SES"
295, Pre-paid cards shall be distributed via email  or via a printed paper card.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon SES"
296,Only registered customers can purchase streaming movies.,"Amazon S3,Amazon CloudFront,Amazon Cognito,Amazon RDS,Amazon Lambda"
297, Movies can only be streamed if the customer has purchased a movie  and is within the 2-day time period to stream the movie.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon EventBridge"
298,Website must be able to support free trial periods with various parameters set by the Izogn Manager.,"Amazon S3,Amazon CloudFront,Amazon RDS,,Amazon Lambda"
299, All streaming movie sales will be logged in the database  and accessible by the administrator.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Cognito,Amazon DynamoDB,Amazon Lambda"
300, All registered customer information shall be stored and maintained in the database  even after the customer cancels their account.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon DynamoDB,Amazon Lambda"
301, Daily usage statistics should be logged  and accessible by the administrator.,"Amazon S3,Amazon Lambda,Amazon Cognito"
302,The owner shall have free access to all of the streaming movies.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Cognito,Amazon Lambda"
303,Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.,"Amazon S3,Amazon CloudFront,Amazon RDS,,Amazon Lambda"
304,No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed.,"Amazon S3,Amazon CloudFront,Amazon RDS,,Amazon Lambda,Amazon ElasticSearch"
305,For leads that process longer than 25 seconds the system will record the event and duration,"Amazon S3,Amazon CloudFront,Amazon RDS,,Amazon Lambda,Amazon ElasticSearch"
306,The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.,"Amazon S3,Amazon CloudFront,Amazon RDS,,Amazon Lambda"
307,The lead washing process will operate within the established physical web service structure.,"Amazon S3,Amazon CloudFront,Amazon RDS,,Amazon Lambda"
308, The washing process must use a non binding  neutral data format  such as xml  when receiving and processing lead data.,"Amazon S3,Amazon CloudFront,Amazon RDS,,Amazon Lambda"
309,Defect reports will be available to technical units on a 24x7 basis.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
310,Washing parameters will be updated during scheduled maintenance hours.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon EventBridge"
311,The vendor will verify the invalid lead.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
312,Vendor will submit a credit validation record to be applied to the enterprise billing system.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
313,If a lead is scored to the high range the system will supply the lead data and score to the enterprise system.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
314,The leads washing functionality will validate all leads received by the web service for valid data,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
315,The leads washing functionality will insert all leads captured by the web service.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
316,If the leads score falls within the high average score then it will be process by the ARA functionality.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
317,If the leads score falls within the medium average then it will be set for manual verification by an Enrollment Coordinator through the eleads system.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
318,If the leads score falls within the low average then it will be returned to the supplying vendor,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
319,The leads washing functionality will compile both contact and academic scoring information for a total score.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
320,The leads washing functionality will use the parameters supplied by corporate and schools to score part of the lead.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
321,The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
322,The leads washing functionality will have an interface in which lead data parameters can be maintained.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
323,The leads washing functionality will verify the users authentication and rights to make parameter updates.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
324,The leads washing functionality will store any potential lead duplicates returned by the enterprise system.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
325,Prior to submitting the lead to the enterprise system the leads washing functionality will assign the lead to an admissions rep.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
326,The leads washing functionality shall receive a period list of available reps from the enterprise system.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
327,The product shall simulate the look of ships at sea.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
328,The product shall display the grids within a circle as a view from a periscope.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
329,The product shall display each type of ship in a grid using an image of the specific type of ship.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
330, When the offensive player takes a shot  the product shall simulate the sound of a ship at sea.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
331, When a shot is marked as a miss  the product shall simulate the sound of a shot missing its target.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
332, When a shot is marked as a hit  the product shall simulate the sound of a shot hitting its target.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
333, When a ship is sunk  the product shall simulate the sound of a sinking ship.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
334, The product shall be available 24 hours per day  seven days per week.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
335,The product shall able to handle a large number of games simultaneously.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
336,The response time shall be fast enough to maintain the flow of the game.  The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
337,The product shall protect the identity of the players. The product shall provide players no access to information that might reveal the identity of another player.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
338,The product shall be intuitive and self-explanatory.  Nine out ten users shall be able to successfully complete a game with no training.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
339, The product shall be available to players who understand English  Spanish and French.  The product shall allow the user to select the language upon accessing the product.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
340,The product shall provide players no access to information that might reveal the identity of another player,"Amazon S3,Amazon CloudFront,Amazon Cognito,Amazon RDS,Amazon Lambda"
341,The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,"Amazon S3,Amazon CloudFront,Amazon ElasticSearch,Amazon RDS,Amazon Lambda"
342,The product shall maintain a list of players.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
343,The product shall allow a user to identify himself or herself as a player.,"Amazon S3,Amazon CloudFront,Amazon ElasticSearch,Amazon RDS,Amazon Lambda"
344, Once a game has been initiated  the product shall make the players assigned to the game unavailable for selection from the list of players.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
345,The product shall allow a user to remove himself or herself from the list of players at any time.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
346,The product shall make inactive players unavailable for selection from the list of players.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
347,The product shall remove players who have been inactive for 24 hours from the list of players.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
348,The product shall allow a player to initiate a game by selecting another available player from the list of players.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
349, Once a game is initiated  the product shall display a defensive grid to each player,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
350, Once a game is initiated  the product shall display an offensive grid to each player.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
351,The product shall prevent a player from viewing the offensive or defensive grids of the other player.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
352, Once a game is initiated  the product shall allow each player to position their 5 ships on their respective defensive grids.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
353,The product shall allow a player to position ships horizontally on their grid.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
354,The product shall allow the player to position ships vertically on their grid.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
355,The product shall allow the player to position ships diagonally on their grid,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
356,The product shall prevent the player from overlapping ships on their grid.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
357, When both players have positioned their 5 ships on their defensive grids  the product shall define the status of each player for the first turn.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
358, For each turn  the product shall identify one player as offensive status and one player as defensive status.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
359, The product shall maintain the status of each player for a turn  either offensive or defensive.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
360, At the start of each turn  the product shall notify each player of his or her status.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
361, For each turn  the product shall allow the offensive player to define a shot.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
362, For each shot  the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
363, For each shot  the product shall notify the players whether the shot was a hit or miss.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
364, For each shot  the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
365, For each shot  the product shall mark the shot as a hit or miss on the offensive grid of the offensive player.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
366,When the hit results in sinking a ship  the product shall notify the players that the ship was sunk.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda,Amazon SNS,Amazon SES"
367,When the hit results in sinking a ship  the product shall mark the ship as sunk on the defensive grid of the defensive player.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
368,When the hit results in sinking a ship  the product shall indicate the type of ship sunk on the defensive grid of the defensive player.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
369,When the hit results in sinking a ship  the product shall mark the ship as sunk on the offensive grid of the offensive player.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
370,If the shot was marked as a hit  the product shall allow the offensive player to define a shot.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
371,If the shot was marked as a miss  the product shall change the status of the offensive player to defensive,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
372,If the shot was marked as a miss  the product shall change the status of the defensive player to offensive,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
373,The product shall continue to assign turns until the game is ended.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
374,The product shall end a game when a hit by the offensive player results in sinking the last of the defensive player s ships  which had not been previously marked as sunk.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
375,The product shall allow a player to end a game at any time during the game.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
376,When a game is ended  the product shall notify the players that the game is ended.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
377,The notification of the game ending will include the reason the game is ended (i.e.  a player has won the game or a player has ended the game).,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda,Amazon SNS,Amazon SES"
378,When a game is ended  the product shall allow each player to identify himself or herself as an available player in the list of players.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
379,When a game is ended  the product shall allow each player to remove himself or herself from the list of players.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
380,The system shall be easy to use by callers and supervisors. Callers and supervisors must be able to accomplish any system task within 2 minutes.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
381,The system shall be easy to learn by callers and supervisors. Callers and supervisors shall learn how to use the system within 10 minutes.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
382,The system shall be responsive. At the DePaul TeleServices Center  when a supervisor uses the system to view a callers schedule  the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.,"Amazon S3,Amazon CloudFront,Amazon SNS,Amazon RDS,Amazon Lambda"
383,On a 56k connection  the system response time for all operations must be no more than 6 seconds 90% of the time.,"Amazon S3,Amazon CloudFront,Amazon ElasticSearch,Amazon RDS,Amazon Lambda"
384,On a 112k connection or faster  the system response time for all operations must be no more than 3 seconds 90% of the time.,"Amazon S3,Amazon CloudFront,Amazon ElasticSearch,Amazon RDS,Amazon Lambda"
385,The system shall have high availability every day of the year.The system must be available for use between 12,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
386,The system must be available for use between 7,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
387,The product shall be internet browser independent.The product must run using Internet Explorer and Netscape Navigator.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
388,The product shall ensure that only supervisors can advertise empty time slots.The product must ensure that supervisors are allowed to access advertise empty time slots.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
389,The product shall ensure that only supervisors can enter a caller s schedule.The product must ensure that supervisors are allowed to access advertise empty time slots.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
390,The product shall ensure that only supervisors can view schedule of all callers.The product must ensure that supervisors are allowed to access advertise empty time slots.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
391,The interface shall have a simple look. In the interface and usability survey  90% of beta testers must report that the interface is adequately simple.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
392,The interface shall be appealing to callers and supervisors. In the interface and usability survey  80% of beta testers must report that the interface is appealing.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
393,The product shall provide GUI based Monitoring Services.System Administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon Amplify"
394,The product shall comply with City of Chicago Application Development Guide Framework.Application Development Framework will provide structured Graphical User Interface.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon Amplify"
395,The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon CloudWatch"
396,The product shall provide Error Tracking Services.The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon CloudWatch,Amazon CloudTrail"
397,The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators),"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
398,The product shall provide Asynchronous Messaging.The product shall provide asynchronous messaging to enable parallel processing and reduce the overhead in communications,"Amazon RDS,Amazon Lambda,Amazon SNS"
399,The product shall provide Multi-threading and Load Balancing.The product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic.,"Amazon RDS,Amazon Lambda,Amazon ElasticLoadBalancer"
400,The product shall process messages within 2 seconds.The product shall have a maximum message processing time of 2 seconds,"Amazon RDS,Amazon Lambda,Amazon SNS,Amazon MQ"
401,The product shall poll the system for messages every second.The product shall poll the system for new messages at a maximum of every 1 second.,"Amazon RDS,Amazon Lambda,Amazon SNS,Amazon MQ"
402,The product shall provide Dynamic Change Support and Transparent resource addition.The product shall support Transparent Resource addition and Dynamic Change support to provide scalability and avoid service interruptions of more than 1 day.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon ElasticLoadBalancer"
403,The product shall be available 99% of the time. Rationale,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
404,The product shall be robust.The product shall have fault avoidance based on standards adoption.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
405,The product shall be robust with fault tolerance.The product shall have fault tolerance by using recovery technique compensatory transaction and routing around failures.,"Amazon Backup,Amazon S3"
406,The product shall be able to process all transactions.The product shall process minimum of 1 million transactions per year.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
407,The product shall be platform independent.The product shall enable access to any type of development environment and platform.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon ECS,Amazon EKS"
408,The product shall interface CSR and Datastream.The product shall exchange messages between CSR and EAM on a real time basis without any direct interfaces between two systems.,"Amazon SNS,Amazon MQ,Amazon Kinesis"
409,The product shall continue to operate during upgrade  change or new resource addition.The product shall be able to continue to operate with no interruption in service due to new resource additions.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
410,The product shall be updated on a regular basis.The product will have a new major feature introduced every six months and quarterly maintenance releases every six months.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
411,The product shall operate with every platform.The product shall accommodate any new technology without any change in its architecture.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
412, The product shall have security.The product shall provide authentication  and authorization.,"Amazon Cognito,Amazon RDS,Amazon Lambda"
413,The product shall information Security. The product shall enable privacy by encryption WS-Security and Integrity Checking.,"Amazon Cognito,Amazon VPC,Amazon GuardDuty,Amazon Inspector"
414,The product shall have audit capabilities.The product shall store messages for a minimum of one year for audit and transaction tracking purposes.,"Amazon CloudTrail,Amazon S3,Amazon X-Ray"
415,The system shall use IBM and CCR branding standards. The interface must have one IBM logo and one CCR logo.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
416,The system shall be displayable on any work computer a CCR user may have. The system interface shall be formatted to display at 800 by 600 pixel resolution.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
417,The system interface will use CCR nomenclature. The system must use the same nomenclature used in the existing WCS system and reports,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
418,The interface must summarize the data in a fashion that s appealing to CCR management. Every report type must have at least one high level summary shown in the results dashboard/interface,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
419,The system must use a point and click interface. 100% of all selection and navigation functionality must be able to be activated/selected by either a mouse or a keyboard,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
420,The interface shall be easy to use. 90% of users should be able to successfully use the system to generate a report on their first use. The interface should adhere to IBM usability standards.,"Amazon S3,Amazon CloudFront,Amazon Lambda,Amazon RDS,Amazon CloudTrail"
421,Rreports must be easy to generate. eports must be generated within one button click and exported within one button click (after selecting the report),"Amazon Cognito,Amazon Lambda,Amazon RDS,Amazon CloudTrail"
422,A user shall be able to use the system without instruction after a short amount of time. After one use a user should understand and remember 90% of the system usage and navigation.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
423,All CCR users shall receive training before the WCS system is deployed. One training session will be held for 100% of CCR users before system deployment (based on a CCR user being available),"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
424,The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization. All interfaces and reports will undergo usability tests by CCR users.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
425,The WCS system shall be available at all times as long as IBM s internal intranet W3 is accessible. The WCS system will be available 95% of the time IBM s internal intranet W3 is available.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
426,The WCS system shall have the ability to connect other designated WCS databases currently not included in the system.,"Amazon VPCPeering,Amazon RDS,Amazon Lambda"
427,The WCS system shall have the ability to include data for regions outside the United States and be accessed by users outside of the United States if approved by CCR management.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
428,The WCS system shall be run in a Windows environment. The WCS shall be accessed by users through the Internet on an IBM computer running a Windows 2000 or above operating system.,"Amazon RDS,Amazon EC2"
429,The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats).  Brio will provide buttons in the user interface that produce/export reports in .xls or .123 file formats.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
430,The WCS system must run queries to the WCS databases once again (on a specified day) to update the available data available to CCR users. Queries must be made to external databases for data refresh once a week.,"Amazon RDS,Amazon Lambda,Amazon EventBridge"
431, All changes  updates  and additions to the WCS system shall be updated in the WCS Developer and WCS User Guides. Every change must be reflected in WCS system documentation,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
432,The system shall only be accessed by authorized Corporate Community Grants (CCR) employees. Users must be authenticated using their IBM intranet user name and password.,"Amazon S3,Amazon CloudFront,Amazon Cognito,Amazon RDS,Amazon Lambda"
433,The WCS system shall not allow automatic logins by any user. Cookies containing WCS login information about a user will not be stored on a user s computer.,"Amazon S3,Amazon CloudFront,Amazon Cognito,Amazon RDS,Amazon Lambda"
434,Each team owner will need to use a username and password in order to be authenticated to reach the team owner s page,"Amazon S3,Amazon CloudFront,Amazon Cognito,Amazon RDS,Amazon Lambda"
435,The Commissioner will be the only authorized user per league to adjust league settings.,"Amazon S3,Amazon CloudFront,Amazon Cognito,Amazon RDS,Amazon Lambda"
436,Each page shall contain a navigation menu which shows the index into which the current page is contained.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
437,Each page shall contain a similar format with action items in one location and navigation buttons in a different location.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
438,The message board shall contain the 5 most recently posted messages on the league page. The messages will contain up to the first 150 characters of the message.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon SES,Amazon SNS"
439,A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
440,Users shall be able to reach the  add    drop   and  trade player  pages with one click from the team owner s page.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
441,Users shall be able to view at least 25 NFL player statistics and points on each page.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
442,The application shall ask the user to confirm dropping a player or trading a player before performing the action.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
443,The application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
444,The application shall have a downtime of at most 10 minutes per year.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
445,The application shall run on a web application server.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon EC2,Amazon ECS,Amazon EKS"
446,The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
447,The Disputes application shall support 350 concurrent users without any degradation of performance in the application.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
448, The Disputes application shall be available 24x7x365  with the exception of the following scheduled maintenance windows.  Monday   Saturday 3,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon EventBridge"
449,The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
450,A primary database will be used to store cached data for active users.,"Amazon RDS,Amazon ElasticCache"
451,The system shall achieve 95% up time.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
452,The system shall have a professional appearance,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
453,The product shall have a consistent color scheme and fonts.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
454,The system shall be used by realtors with no training.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
455,The system shall be intuitive and self explanatory.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
456,The product shall be easy for a realtor to learn.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
457,The product shall use symbols and words that are naturally understandable by the realtor community.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
458,The product shall produce search results in an acceptable time,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon ElasticSearch"
459,The search results shall be returned no later 30      seconds  after the user has entered the search criteria,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon ElasticSearch"
460,The product shall generate a CMA report in an acceptable time.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
461,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
462,The product shall synchronize contacts and appointments in an acceptable time.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon EventBridge"
463,The product shall synchronize with the office system every hour.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon EventBridge"
464, The product shall be available for use 24 hours per day  365 days  per year,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
